ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
169341000033114	35912611000001102	Budesonide 3mg gastro-resistant modified-release capsules	Budesonide 3mg gastro-resistant modified-release capsules	Budesonide	3.000mg	Modified-release capsule	Oral	1050200	80000
1718341000033110	317446001	Budesonide 3mg gastro-resistant capsules	Budesonide 3mg gastro-resistant capsules	Budesonide	3.000mg	Gastro-resistant capsule	Oral	1050200	100000
4214041000033115	11880411000001105	Beclometasone 5mg gastro-resistant modified-release tablets	Beclometasone 5mg gastro-resistant modified-release tablets	Beclometasone dipropionate	5.000mg	Modified-release tablet	Oral	1050200	7000
6512041000033112	19743911000001108	Budesonide 9mg gastro-resistant granules sachets	Budesonide 9mg gastro-resistant granules sachets	Budesonide	9.000mg	Gastro-resistant granules	Oral	1050200	2000
10262941000033112	29094911000001100	Budesonide 9mg modified-release tablets	Budesonide 9mg modified-release tablets	Budesonide	9.000mg	Modified-release tablet	Oral	1050200	9000
12641241000033111	35824211000001108	Budesonide 1mg orodispersible tablets sugar free	Budesonide 1mg orodispersible tablets sugar free	Budesonide	1.000mg	Orodispersible tablet	Oral	1050200	900
144641000033113	39697311000001102	Betamethasone 500microgram soluble tablets sugar free	Betamethasone 500microgram soluble tablets sugar free	Betamethasone sodium phosphate	500.000microgram	Soluble tablet/	Oral	6030200	200000
145441000033110	325345003	Betamethasone 500microgram tablets	Betamethasone 500microgram tablets	Betamethasone	500.000microgram	Tablet	Oral	6030200	10000
371941000033113	325349009	Cortisone 25mg tablets	Cortisone 25mg tablets	Cortisone acetate	25.000mg	Tablet	Oral	6030200	60000
428941000033110	325472005	Deflazacort 6mg tablets	Deflazacort 6mg tablets	Deflazacort	6.000mg	Tablet	Oral	6030200	30000
431841000033111	325356003	Dexamethasone 2mg tablets	Dexamethasone 2mg tablets	Dexamethasone	2.000mg	Tablet	Oral	6030200	800000
431941000033115	325355004	Dexamethasone 500microgram tablets	Dexamethasone 500microgram tablets	Dexamethasone	500.000microgram	Tablet	Oral	6030200	300000
740241000033111	8581111000001102	Hydrocortisone 10mg/5ml oral suspension	Hydrocortisone 10mg/5ml oral suspension	Hydrocortisone	2.000mg/1.000ml	Oral suspension	Oral	6030200	6000
742241000033110	325374007	Hydrocortisone 20mg tablets	Hydrocortisone 20mg tablets	Hydrocortisone	20.000mg	Tablet	Oral	6030200	100000
744541000033116	325373001	Hydrocortisone 10mg tablets	Hydrocortisone 10mg tablets	Hydrocortisone	10.000mg	Tablet	Oral	6030200	2000000
898541000033119	325410005	Methylprednisolone 100mg tablets	Methylprednisolone 100mg tablets	Methylprednisolone	100.000mg	Tablet	Oral	6030200	20000
903141000033113	325413007	Methylprednisolone 16mg tablets	Methylprednisolone 16mg tablets	Methylprednisolone	16.000mg	Tablet	Oral	6030200	1000
904141000033111	325411009	Methylprednisolone 2mg tablets	Methylprednisolone 2mg tablets	Methylprednisolone	2.000mg	Tablet	Oral	6030200	5000
904241000033116	325412002	Methylprednisolone 4mg tablets	Methylprednisolone 4mg tablets	Methylprednisolone	4.000mg	Tablet	Oral	6030200	8000
