MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
282488010	100000	8793	8793.00	Asthma control step 0	182726007	282488010	32
282489019	500000	8794	8794.00	Asthma control step 1	182727003	282489019	32
282490011	1000000	8795	8795.00	Asthma control step 2	182728008	282490011	32
282491010	700000	8796	8796.00	Asthma control step 3	182729000	282491010	32
282492015	80000	8797	8797.00	Asthma control step 4	182730005	282492015	32
282493013	10000	8798	8798.00	Asthma control step 5	182731009	282493013	32
264551018	100000	663V	663V.00	Asthma severity	170642006	264551018	1
1208956013	2000000	663v	663v.00	Asthma causes daytime symptoms most days	370204008	1208956013	1
1208969012	100000	663V1	663V100	Mild asthma	370218001	1208969012	1
1208970013	60000	663V2	663V200	Moderate asthma	370219009	1208970013	1
1208971012	60000	663V0	663V000	Occasional asthma	370220003	1208971012	1
1208972017	20000	663V3	663V300	Severe asthma	370221004	1208972017	1
