prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
4830	353132008	171319	69185020	Estriol 0.1% cream	Estriol	1mg/1gram	Cream	Vaginal	06040105/07020150	HRT Product - In Drug Tariff List (In House Use Only)/Oestrogens, Topical	February 2009
1760	25875001000027103	3138	51244020	Prempak 0.625 Tablet (Wyeth Pharmaceuticals)	Norgestrel/Conjugated Oestrogens		Not applicable	Route of administration not applicable	06040101	Oestrogens And HRT	February 2009
83904	24676811000001104	1	27008021	Ostiral 60mg tablets (Lupin Healthcare (UK) Ltd)	Raloxifene hydrochloride	60mg	Tablet	Oral	06040101/06040104	Oestrogens And HRT/Selective Estrogen Receptor Modulators (Serms)	May 2021
67659	13851711000001108	0	06680020	Estradiol valerate 2mg tablets (DE Pharmaceuticals)	Estradiol valerate	2mg	Tablet	Oral	06040101	Oestrogens And HRT	September 2016
77052	10280511000001108	7	28159020	Generic Clinorette tablets			Not applicable	Route of administration not applicable	06040101/06040103	Oestrogens And HRT/Progestogen Products Doubling (In House Use)	July 2019
11157	210455001000027109	2023	79440020	Estradiol and (estradiol with dydrogesterone) 1mg with (1mg with 10mg) tablets	Dydrogesterone/Estradiol Hemihydrate	1mg + (1mg + 10mg)	Tablets	Oral	06040101	Oestrogens And HRT	February 2009
15100	212725001000027105	333	80120020	Estradiol 37.5micrograms/24hr twice weekly patch	Estradiol	37.5micrograms/24 hours (3.29mg/unit)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
69098	24684311000001109	5	27033021	Cleosensa 0.03mg/3mg tablets (Actavis UK Ltd)	Drospirenone/Ethinylestradiol	3mg + 30microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	April 2017
65475	36062011000001103	1045	07145020	Generic Femodene ED tablets			Not applicable	Route of administration not applicable	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	February 2016
71051	783611000001102	0	06822020	Norethisterone 5mg tablets (Kent Pharma (UK) Ltd)	Norethisterone	5mg	Tablet	Oral	06040102/08030200	Progestogens And Progesterone Receptor Modulators/Progestogens (In Malignant Disease)	December 2017
44229	17353311000001100	24857	98677020	Millinette 20microgram/75microgram tablets (Gedeon Richter (UK) Ltd)	Gestodene/Ethinylestradiol	75microgram + 20microgram	Tablet	Oral	06040103/07030150	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Low Strength (Oral)	January 2011
57514	5263011000001103	601	06712020	Estraderm TTS 50 patches (Waymade Healthcare Plc)	Estradiol	50microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	October 2013
52101	16226911000001103	3	10827020	Premique 0.625mg/5mg tablets (Lexon (UK) Ltd)	Medroxyprogesterone acetate/Conjugated oestrogens	5mg + 625microgram	Tablet	Oral	06040101/06060000	Oestrogens And HRT/Products Affecting Bone Metabolism	January 2013
2397	204935001000027109	52834	77626020	Evorel -100 100microgram/24 hr (6.4mg/unit) Transdermal patch (Janssen-Cilag Ltd)	Estradiol	100microgram/24 hr (6.4mg/unit)	Transdermal Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
1268	3043111000001107	422080	79354020	Kliofem tablets (Novo Nordisk Ltd)	Estradiol/Norethisterone acetate	2mg + 1mg	Tablet	Oral	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
