prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
60160	18202311000001102	0	10787020	Rosuvastatin 5mg tablets (Mawdsley-Brooks & Company Ltd)	Rosuvastatin calcium	5mg	Tablet	Oral	02120400	Statins	June 2014
61665	21899011000001107	0	47199020	Simvastatin 10mg tablets (Waymade Healthcare Plc)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	November 2014
67573	22612811000001102	0	16674021	Atorvastatin 10mg tablets (DE Pharmaceuticals)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	September 2016
77427	5381111000001109	390	02600020	Lipitor 10mg tablets (Waymade Healthcare Plc)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	August 2019
65193	22940911000001103	3	17407021	Atorvastatin 20mg tablets (Ranbaxy (UK) Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	January 2016
50703	18468511000001107	8	02523020	Simvastatin 40mg tablets (Accord Healthcare Ltd)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	January 2013
84456	38801211000001105	0	94564021	Atorvastatin 80mg tablets (Medihealth (Northern) Ltd)	Atorvastatin calcium trihydrate	80mg	Tablet	Oral	02120400	Statins	September 2021
3089	320018007	254518	57107020	Ciprofibrate 100mg tablets	Ciprofibrate	100mg	Tablet	Oral	02120300	Fibrates	February 2009
7554	409108001	1136937	89881020	Rosuvastatin 5mg tablets	Rosuvastatin calcium	5mg	Tablet	Oral	02120400	Statins	February 2009
34820	7977111000001100	73	68205020	Pravastatin 40mg tablets (A A H Pharmaceuticals Ltd)	Pravastatin sodium	40mg	Tablet	Oral	02120400	Statins	February 2009
70673	30919311000001106	598	60217021	Alirocumab 75mg/1ml solution for injection pre-filled disposable devices	Alirocumab	75mg/1ml	Solution for injection	Subcutaneous	02120700	Other Lipid-Regulating Products	November 2017
6365	4083011000001103	13248	68876020	Colestid 5g granules sachets plain (Pfizer Ltd)	Colestipol hydrochloride	5gram	Granules	Oral	02120100	Bile Acid Sequestrants - Lipid-Regulating Products	February 2009
84780	39832611000001106	6842	99115021	Rosuvastatin 5mg capsules	Rosuvastatin calcium	5mg	Capsule	Oral	02120400	Statins	October 2021
64825	22201511000001108	0	14784021	Atorvastatin 10mg tablets (Phoenix Healthcare Distribution Ltd)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	November 2015
53460	13857911000001102	0	10669020	Crestor 10mg tablets (DE Pharmaceuticals)	Rosuvastatin calcium	10mg	Tablet	Oral	02120400	Statins	January 2013
53770	14584511000001106	0	75882020	Fluvastatin 40mg capsules (A A H Pharmaceuticals Ltd)	Fluvastatin sodium	40mg	Capsule	Oral	02120400	Statins	February 2013
78145	17916111000001105	0	02563020	Pravastatin 40mg tablets (Phoenix Healthcare Distribution Ltd)	Pravastatin sodium	40mg	Tablet	Oral	02120400	Statins	October 2019
49061	16067211000001108	0	02518020	Simvastatin 40mg tablets (Bristol Laboratories Ltd)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	January 2013
34366	4466511000001106	88	65924020	Simvastatin 20mg tablets (IVAX Pharmaceuticals UK Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2009
63787	13761111000001104	0	02539020	Pravastatin 10mg tablets (Tillomed Laboratories Ltd)	Pravastatin sodium	10mg	Tablet	Oral	02120400	Statins	July 2015
85713	39495111000001106	19	97732021	Inclisiran 284mg/1.5ml solution for injection pre-filled syringes	Inclisiran sodium	189mg/1ml	Solution for injection	Subcutaneous	02120700	Other Lipid-Regulating Products	March 2022
4067	3698311000001102	5934	68085020	Olbetam 250mg capsules (Pfizer Ltd)	Acipimox	250mg	Capsule	Oral	02120500	Nicotinic Acid Group	February 2009
81960	4255511000001106	0	02439020	Fenofibrate micronised 200mg capsules (Alliance Healthcare (Distribution) Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	October 2020
49751	20508311000001106	4	41330020	Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	January 2013
4961	226245001000027101	1832	84284020	Lipobay 300microgram Tablet (Bayer Plc)	Cerivastatin sodium	300microgram	Tablet	Oral	02120400	Statins	February 2009
85273	35041411000001106	1	79200021	Rosuvastatin 5mg tablets (Sun Pharmaceutical Industries Europe B.V.)	Rosuvastatin calcium	5mg	Tablet	Oral	02120400	Statins	December 2021
