ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
11441000033114	326038002	Acarbose 100mg tablets	Acarbose 100mg tablets	Acarbose	100.000mg	Tablet	Oral	6010203	200000
11541000033110	326037007	Acarbose 50mg tablets	Acarbose 50mg tablets	Acarbose	50.000mg	Tablet	Oral	6010203	500000
249441000033114	325213005	Chlorpropamide 100mg tablets	Chlorpropamide 100mg tablets	Chlorpropamide	100.000mg	Tablet	Oral	6010201	40000
249541000033110	325214004	Chlorpropamide 250mg tablets	Chlorpropamide 250mg tablets	Chlorpropamide	250.000mg	Tablet	Oral	6010201	70000
464441000033117	325297007	Diazoxide 50mg tablets	Diazoxide 50mg tablets	Diazoxide	50.000mg	Tablet	Oral	6010400	9000
639241000033114	36051511000001105	Glucagon 1mg powder and solvent for solution for injection vials	Glucagon 1mg powder and solvent for solution for injection vials	Glucagon hydrochloride	1.000mg	Powder and solvent for solution for injection	Intramuscular/ Subcutaneous/ Intravenous	6010400	200000
644541000033111	325218001	Glibenclamide 2.5mg tablets	Glibenclamide 2.5mg tablets	Glibenclamide	2.500mg	Tablet	Oral	6010201	600000
644641000033112	325219009	Glibenclamide 5mg tablets	Glibenclamide 5mg tablets	Glibenclamide	5.000mg	Tablet	Oral	6010201	2000000
644841000033113	325243007	Glipizide 5mg tablets	Glipizide 5mg tablets	Glipizide	5.000mg	Tablet	Oral	6010201	800000
645841000033112	325259007	Glimepiride 2mg tablets	Glimepiride 2mg tablets	Glimepiride	2.000mg	Tablet	Oral	6010201	1000000
645941000033116	325261003	Glimepiride 1mg tablets	Glimepiride 1mg tablets	Glimepiride	1.000mg	Tablet	Oral	6010201	800000
646041000033114	325262005	Glimepiride 3mg tablets	Glimepiride 3mg tablets	Glimepiride	3.000mg	Tablet	Oral	6010201	500000
646141000033113	325263000	Glimepiride 4mg tablets	Glimepiride 4mg tablets	Glimepiride	4.000mg	Tablet	Oral	6010201	1000000
646441000033117	325242002	Gliclazide 80mg tablets	Gliclazide 80mg tablets	Gliclazide	80.000mg	Tablet	Oral	6010201	30000000
646541000033116	325248003	Glipizide 2.5mg tablets	Glipizide 2.5mg tablets	Glipizide	2.500mg	Tablet	Oral	6010201	100000
646941000033110	325251005	Gliquidone 30mg tablets	Gliquidone 30mg tablets	Gliquidone	30.000mg	Tablet	Oral	6010201	9000
