"medcode" "readcode" "clinicalevents" "immunisationevents" "referralevents" "testevents" "readterm" "databaserelease"
"1" 5267 "H331.00" 18013 0 17 1 "Intrinsic asthma" "February 2009"
"2" 31167 "66YP.00" 48981 0 1 0 "Asthma night-time symptoms" "February 2009"
"3" 2290 "H330.11" 18069 0 497 5 "Allergic asthma" "February 2009"
"4" 15248 "H330.13" 6928 0 18 1 "Hay fever with asthma" "February 2009"
"5" 7731 "H330.14" 3993 0 3 3 "Pollen asthma" "February 2009"
"6" 1555 "H33..11" 62391 0 1258 20 "Bronchial asthma" "February 2009"
"7" 93353 "H35y600" 3 0 0 0 "Sequoiosis (red-cedar asthma)" "February 2009"
"8" 26506 "663e100" 12498 0 0 0 "Asthma severely restricts exercise" "February 2009"
"9" 5867 "173A.00" 62222 0 208 3 "Exercise induced asthma" "February 2009"
"10" 103612 "66Ys.00" 26384 0 0 0 "Asthma never causes night symptoms" "January 2012"
"11" 31225 "663t.00" 225279 0 1 0 "Asthma causes daytime symptoms 1 to 2 times per month" "February 2009"
"12" 81 "663..11" 2833046 0 8352 984 "Asthma monitoring" "February 2009"
"13" 42824 "663q.00" 1601478 0 7 0 "Asthma daytime symptoms" "February 2009"
"14" 4892 "H33z000" 5123 0 503 55 "Status asthmaticus NOS" "February 2009"
"15" 20860 "8798.00" 2179 0 10 0 "Asthma control step 5" "February 2009"
"16" 19520 "663n.00" 577007 0 1 0 "Asthma treatment compliance satisfactory" "February 2009"
"17" 8355 "9OJA.11" 15192 0 12 0 "Asthma monitored" "February 2009"
"18" 105674 "661M100" 14570 0 0 0 "Asthma self-management plan agreed" "January 2013"
"19" 25181 "663e.00" 56701 0 2 0 "Asthma restricts exercise" "February 2009"
"20" 13065 "663V200" 17934 0 13 0 "Moderate asthma" "February 2009"
"21" 93736 "388t.00" 66243 0 3 0 "Royal College of Physicians asthma assessment" "February 2009"
"22" 106805 "H335.00" 576 0 10 0 "Chronic asthma with fixed airflow obstruction" "August 2013"
"23" 7146 "H330.00" 37371 0 43 0 "Extrinsic (atopic) asthma" "February 2009"
"24" 3366 "663V300" 3597 0 79 0 "Severe asthma" "February 2009"
"25" 19167 "66YQ.00" 157498 0 3 0 "Asthma monitoring by nurse" "February 2009"
"26" 38144 "663w.00" 61800 0 0 0 "Asthma limits walking up hills or stairs" "February 2009"
"27" 100107 "679J000" 6723 0 43 0 "Health education - asthma self management" "July 2010"
"28" 24884 "663u.00" 199897 0 1 0 "Asthma causes daytime symptoms 1 to 2 times per week" "February 2009"
"29" 232 "H33z100" 103087 0 4532 5 "Asthma attack" "February 2009"
"30" 38143 "663O000" 250349 0 1 0 "Asthma never disturbs sleep" "February 2009"
"31" 14777 "H330000" 5037 0 1 0 "Extrinsic asthma without status asthmaticus" "February 2009"
