"MedCodeId" "Observations" "OriginalReadCode" "CleansedReadCode" "Term" "SnomedCTConceptId" "SnomedCTDescriptionId" "Release" "EmisCodeCategoryId"
"1" 21390015 5000 "H3310" "H331000" "Intrinsic asthma without status asthmaticus" 12428000 21390015 NA 32
"2" 69311016 80 "H47y0" "H47y000" "Detergent asthma" 41553006 69311016 NA 32
"3" 94731013 20 "H35y7" "H35y700" "Wood asthma" 56968009 497732010 NA 32
"4" 95786019 6000 "173c" "173c.00" "Occupational asthma" 57607007 95786019 NA 27
"5" 98546013 900 "H3311" "H331100" "Life threatening acute exacerbation of intrinsic asthma" 1086711000000100 2722261000000119 NA 32
"6" 104872017 10000 "H3300" "H330000" "Extrinsic asthma without status asthmaticus" 63088003 104872017 NA 32
"7" 151338014 2000 "H3301" "H330100" "Life threatening acute exacerbation of allergic asthma" 1086701000000102 2722231000000112 NA 32
"8" 216186011 1000000 "663m" "663m.00" "Emergency asthma patient visit since last encounter" 708373002 3034176014 NA 1
"9" 264540018 1000000 "663N" "663N.00" "Asthma disturbing sleep" 170631002 264540018 NA 1
"10" 264541019 300000 "663N0" "663N000" "Asthma causing night waking" 170632009 264541019 NA 1
"11" 264542014 300000 "663N1" "663N100" "Asthma disturbs sleep weekly" 170633004 264542014 NA 1
"12" 264543016 300000 "663N2" "663N200" "Asthma disturbs sleep frequently" 170634005 264543016 NA 1
"13" 264545011 2000000 "663O0" "663O000" "Asthma never disturbs sleep" 170636007 264545011 NA 1
"14" 264546012 2000000 "663P" "663P.00" "Asthma limiting activities" 170637003 264546012 NA 1
"15" 264550017 6000000 "663U" "663U.00" "Asthma management" 406162001 2157868010 NA 1
"16" 264551018 100000 "663V" "663V.00" "Asthma severity" 170642006 264551018 NA 1
"17" 264565016 100000 "663d" "663d.00" "Emergency asthma admission since last encounter" 708358003 3033971010 NA 1
"18" 264566015 300000 "663e" "663e.00" "Asthma restricts exercise" 170655007 264566015 NA 1
"19" 264567012 1000000 "663e0" "663e000" "Asthma sometimes restricts exercise" 170656008 264567012 NA 1
"20" 264568019 80000 "663e1" "663e100" "Asthma severely restricts exercise" 170657004 264568019 NA 1
"21" 264569010 1000000 "663f" "663f.00" "Asthma never restricts exercise" 170658009 264569010 NA 1
"22" 282489019 500000 "8794" "8794.00" "Asthma control step 1" 182727003 282489019 NA 32
"23" 282490011 1000000 "8795" "8795.00" "Asthma control step 2" 182728008 282490011 NA 32
"24" 282491010 700000 "8796" "8796.00" "Asthma control step 3" 182729000 282491010 NA 32
"25" 282492015 80000 "8797" "8797.00" "Asthma control step 4" 182730005 282492015 NA 32
"26" 282493013 10000 "8798" "8798.00" "Asthma control step 5" 182731009 282493013 NA 32
"27" 283550015 100000 "8H2P" "8H2P.00" "Emergency hospital admission for asthma" 183478001 3082895019 NA 40
"28" 285727014 100000 "9OJ1" "9OJ1.00" "Attends asthma monitoring" 185728001 285727014 NA 37
"29" 301450011 10000 "H3120" "H312000" "Chronic asthmatic bronchitis" 195949008 301450011 NA 32
"30" 301480018 100000 "H33-1" "H33..11" "Bronchial asthma" 195967001 301480018 NA 32
"31" 301485011 30000000 "H33" "H33..00" "Asthma" 195967001 301485011 NA 32
"32" 301499010 10000 "H330z" "H330z00" "Extrinsic asthma" 424643009 2648327010 NA 32
"33" 301508013 5000 "H331z" "H331z00" "Intrinsic asthma NOS" 266361008 396114013 NA 32
