prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
78546	164505001000027100	1	70052020	Prednisolone rectal ointment	Prednisolone				01050200	Corticosteroids In Chronic Bowel Problems	November 2019
64007	28799311000001104	100	46602021	Pevanti 10mg tablets (Advanz Pharma)	Prednisolone	10mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	August 2015
32803	512811000001108	3465	50401020	Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
79930	17916411000001100	0	06620020	Prednisolone 2.5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2020
16525	3807811000001103	4090	79364020	Budenofalk 3mg gastro-resistant capsules (Dr. Falk Pharma UK Ltd)	Budesonide	3mg	Gastro-resistant capsule	Oral	01050200	Corticosteroids In Chronic Bowel Problems	February 2009
53336	716111000001103	1	06634020	Prednisolone 25mg tablets (A A H Pharmaceuticals Ltd)	Prednisolone	25mg	Tablet	Oral	01050200/03020000/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	January 2013
59229	22520311000001107	3	16434021	Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	March 2014
34748	238511000001107	2117	54228020	Prednisolone 1mg tablets (Teva UK Ltd)	Prednisolone	1mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
41515	110811000001100	2981	55527020	Prednisolone 5mg tablets (Teva UK Ltd)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	March 2010
63214	157711000001100	42	06629020	Prednisolone 5mg soluble tablets (Alliance Healthcare (Distribution) Ltd)	Prednisolone sodium phosphate	5mg	Soluble tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	May 2015
37203	11880411000001105	1100	88958020	Beclometasone 5mg gastro-resistant modified-release tablets	Beclometasone dipropionate	5mg	Modified-release tablet	Oral	01050200	Corticosteroids In Chronic Bowel Problems	February 2009
1380	3765811000001105	10738	81070020	Entocort CR 3mg capsules (Tillotts Pharma UK Ltd)	Budesonide	3mg	Modified-release capsule	Oral	01050200	Corticosteroids In Chronic Bowel Problems	February 2009
34781	350611000001104	20	65526020	Prednisolone 5mg tablets (Kent Pharma (UK) Ltd)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
54434	13079211000001104	4	33907020	Prednisolone 2.5mg/5ml oral suspension	Prednisolone	500microgram/1ml	Oral suspension	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	April 2013
44	325443009	5411665	66163020	Prednisolone 5mg gastro-resistant tablets	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
5913	459611000001100	48244	53819020	Deltacortril 2.5mg gastro-resistant tablets (Phoenix Labs Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
82432	19743011000001109	0	38569020	Prednisolone 2.5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	January 2021
43544	29825001000027106	2	51727020	Prednisone 5mg Tablet (Knoll Ltd)	Prednisone	5mg	Tablet	Oral	01050200/06030200	Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy	September 2010
81344	37130211000001109	0	87030021	Prednisolone 2.5mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	July 2020
67076	13079311000001107	17	33909020	Prednisolone 20mg/5ml oral solution	Prednisolone	4mg/1ml	Oral solution	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	August 2016
61162	21851411000001106	0	47497020	Prednisolone 5mg tablets (Waymade Healthcare Plc)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	September 2014
88201	37941611000001100	0	90842021	Prednisolone 10mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)	Prednisolone	10mg/1ml	Oral solution	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	May 2023
